Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
24.800000,52.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",1,55.19
26.100000,51.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",12,308.69
26.200000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",52,1128.75
26.200000,53.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",26,313.24
28.700000,50.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",19,525.90
28.700000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",23,477.26
28.200000,49.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",86,1201.92
27.300000,49.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",117,3295.83
27.500000,50.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",94,1061.45
28.500000,50.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",19,261.69
28.400000,50.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",25,435.59
28.000000,51.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",25,530.51
27.600000,50.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",24,201.67
27.400000,51.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",29,468.25
27.000000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",164,4415.32
25.700000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",2,1.42
26.400000,51.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",9,100.23
26.400000,50.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",44,537.62
25.400000,52.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",11,29.22
25.300000,52.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",17,244.41
25.200000,52.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",5,66.91
25.700000,53.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",30,488.42
26.700000,53.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",20,366.54
26.400000,53.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",6,39.88
26.600000,53.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",8,41.60
26.500000,54.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",23,124.37
26.400000,53.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",20,274.73
26.300000,54.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",19,393.81
26.400000,54.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",18,87.78
